soc_code,bls_occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
51-9193,Cooling and Freezing Equipment Operators and Tenders,6900,3.1,21.61,44940.0,0.8,16.07,17.49,19.87,23.82,29.97,33430.0,36380.0,41330.0,49550.0,62340.0,,
51-9194,Etchers and Engravers,7750,4.8,22.27,46320.0,1.6,15.49,17.98,20.82,25.51,30.46,32210.0,37400.0,43310.0,53050.0,63360.0,,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",33190,2.9,22.84,47500.0,0.6,17.24,18.88,22.2,25.48,29.58,35850.0,39280.0,46170.0,53000.0,61530.0,,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",96130,1.4,25.4,52840.0,0.4,17.93,21.6,24.17,28.93,33.81,37300.0,44920.0,50270.0,60180.0,70320.0,,
51-9197,Tire Builders,20770,2.7,27.48,57160.0,0.6,19.31,23.03,27.59,30.95,35.91,40150.0,47900.0,57390.0,64380.0,74680.0,,
51-9198,Helpers--Production Workers,165700,1.4,19.77,41120.0,0.3,14.97,16.93,18.78,22.11,25.68,31140.0,35220.0,39070.0,45990.0,53410.0,,
51-9199,"Production Workers, All Other",251700,1.3,21.34,44380.0,0.3,15.0,17.32,19.29,23.56,29.58,31200.0,36030.0,40110.0,49010.0,61530.0,,
53-1041,Aircraft Cargo Handling Supervisors,9760,3.1,31.26,65010.0,1.2,20.04,23.95,27.97,37.75,44.31,41690.0,49820.0,58170.0,78530.0,92160.0,,
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",623640,0.5,32.14,66860.0,0.2,20.85,24.07,30.23,37.58,46.23,43360.0,50070.0,62890.0,78160.0,96150.0,,
53-2011,"Airline Pilots, Copilots, and Flight Engineers",103560,1.1,,288650.0,2.7,,,,,,106710.0,182280.0,232140.0,384440.0,463830.0,TRUE,
53-2012,Commercial Pilots,47630,2.2,,146080.0,1.6,,,,,,58850.0,84540.0,123220.0,190440.0,266620.0,TRUE,
53-2021,Air Traffic Controllers,22510,0.7,70.43,146490.0,0.3,37.7,50.25,71.19,91.62,103.66,78420.0,104520.0,148080.0,190570.0,215610.0,,
53-2022,Airfield Operations Specialists,15190,4.4,30.58,63610.0,1.8,17.25,20.19,27.33,37.18,49.1,35870.0,42000.0,56850.0,77340.0,102120.0,,
53-2031,Flight Attendants,131650,0.9,,77440.0,0.5,,,,,,35110.0,51760.0,63580.0,95640.0,136430.0,TRUE,
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",12630,4.9,17.41,36210.0,0.8,13.15,14.78,17.04,18.47,22.1,27350.0,30750.0,35450.0,38410.0,45960.0,,
53-3031,Driver/Sales Workers,409180,2.4,19.58,40730.0,0.8,10.86,14.52,18.64,23.56,28.84,22590.0,30200.0,38770.0,49000.0,59980.0,,
